date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho,days_to_expiration
2024-01-01,AAPL,2024-01-12,135.0,Call,57.3,58.6,0.8399,0.9878,0.0009,-0.0552,0.0118,0.0506,11 days
2024-01-01,AAPL,2024-01-12,140.0,Call,52.3,53.7,0.7923,0.984,0.0013,-0.0629,0.015,0.0523,11 days
2024-01-01,AAPL,2024-01-12,145.0,Call,47.3,48.6,0.6743,0.987,0.0013,-0.0512,0.0125,0.0544,11 days
2024-01-01,AAPL,2024-01-12,150.0,Call,42.35,43.7,0.6443,0.9802,0.0019,-0.0632,0.018,0.0558,11 days
2024-01-01,AAPL,2024-01-12,155.0,Call,37.35,38.7,0.5662,0.9788,0.0023,-0.061,0.0191,0.0576,11 days
2024-01-01,AAPL,2024-01-12,160.0,Call,32.4,33.75,0.5128,0.9722,0.0033,-0.0669,0.024,0.059,11 days
2024-01-01,AAPL,2024-01-12,162.5,Call,29.85,31.15,0.4407,0.9789,0.003,-0.0534,0.019,0.0605,11 days
2024-01-01,AAPL,2024-01-12,167.5,Call,24.95,26.3,0.4169,0.9618,0.0052,-0.0702,0.0312,0.0611,11 days
2024-01-01,AAPL,2024-01-12,172.5,Call,20.0,21.2,0.3342,0.9593,0.0069,-0.0636,0.0329,0.0629,11 days
2024-01-01,AAPL,2024-01-12,177.5,Call,15.15,16.1,0.2669,0.9474,0.0106,-0.0632,0.0404,0.0639,11 days
2024-01-01,AAPL,2024-01-12,180.0,Call,12.75,13.7,0.2501,0.9252,0.0149,-0.072,0.0532,0.0632,11 days
2024-01-01,AAPL,2024-01-12,185.0,Call,8.2,8.65,0.1971,0.8658,0.029,-0.0808,0.0814,0.0606,11 days
2024-01-01,AAPL,2024-01-12,187.5,Call,5.6,6.45,0.1622,0.8198,0.0429,-0.0798,0.0989,0.0582,11 days
2024-01-01,AAPL,2024-01-12,192.5,Call,2.68,2.89,0.1707,0.5332,0.0617,-0.1062,0.1498,0.0382,11 days
2024-01-01,AAPL,2024-01-12,197.5,Call,0.71,0.84,0.1575,0.2284,0.0509,-0.0705,0.114,0.0165,11 days
2024-01-01,AAPL,2024-01-12,200.0,Call,0.33,0.4,0.1578,0.1251,0.0346,-0.0473,0.0776,0.0091,11 days
2024-01-01,AAPL,2024-01-12,205.0,Call,0.09,0.1,0.172,0.0371,0.0125,-0.0198,0.0305,0.0027,11 days
2024-01-01,AAPL,2024-01-12,207.5,Call,0.05,0.06,0.1826,0.0217,0.0075,-0.0134,0.0196,0.0015,11 days
2024-01-01,AAPL,2024-01-12,212.5,Call,0.02,0.03,0.2087,0.0095,0.0032,-0.0074,0.0096,0.0006,11 days
2024-01-01,AAPL,2024-01-12,217.5,Call,0.01,0.02,0.2454,0.0067,0.002,-0.0064,0.0071,0.0004,11 days
2024-01-01,AAPL,2024-01-12,222.5,Call,0.0,0.01,0.2659,0.0033,0.001,-0.0036,0.0037,0.0002,11 days
2024-01-01,AAPL,2024-01-12,225.0,Call,0.0,0.01,0.2659,0.0017,0.0005,-0.002,0.002,0.0001,11 days
2024-01-01,AAPL,2024-01-12,230.0,Call,0.0,0.01,0.2659,0.0004,0.0001,-0.0005,0.0005,0.0,11 days
2024-01-01,AAPL,2024-01-12,235.0,Call,0.0,0.01,0.2659,0.0,0.0,-0.0001,0.0001,0.0,11 days
2024-01-01,AAPL,2024-01-12,240.0,Call,0.0,0.01,0.2659,0.0,0.0,0.0,0.0,0.0,11 days
2024-01-01,AAPL,2024-01-12,245.0,Call,0.0,0.01,0.2659,0.0,0.0,0.0,0.0,0.0,11 days
2024-01-01,AAPL,2024-01-12,250.0,Call,0.0,0.01,0.2659,0.0,0.0,0.0,0.0,0.0,11 days
2024-01-01,AAPL,2024-01-26,135.0,Call,57.35,59.15,0.6087,0.9866,0.001,-0.0394,0.0183,0.101,25 days
2024-01-01,AAPL,2024-01-26,140.0,Call,52.4,54.0,0.5113,0.9906,0.0009,-0.0326,0.0134,0.1054,25 days
2024-01-01,AAPL,2024-01-26,145.0,Call,47.45,49.2,0.5157,0.9814,0.0016,-0.0431,0.0241,0.1078,25 days
2024-01-01,AAPL,2024-01-26,150.0,Call,42.45,44.25,0.4644,0.9792,0.002,-0.0436,0.0266,0.1113,25 days
2024-01-01,AAPL,2024-01-26,155.0,Call,37.7,39.3,0.4501,0.9667,0.003,-0.0536,0.0394,0.1132,25 days
2024-01-01,AAPL,2024-01-26,160.0,Call,32.7,34.35,0.3966,0.9622,0.0038,-0.0535,0.0437,0.1163,25 days
2024-01-01,AAPL,2024-01-26,165.0,Call,27.6,29.4,0.3329,0.9611,0.0047,-0.0498,0.0448,0.12,25 days
2024-01-01,AAPL,2024-01-26,170.0,Call,23.05,24.1,0.2909,0.9491,0.0067,-0.0525,0.0557,0.122,25 days
2024-01-01,AAPL,2024-01-26,175.0,Call,18.25,19.1,0.2491,0.9303,0.01,-0.0555,0.0712,0.123,25 days
2024-01-01,AAPL,2024-01-26,180.0,Call,13.65,14.2,0.2179,0.8876,0.0164,-0.0628,0.1017,0.1203,25 days
2024-01-01,AAPL,2024-01-26,185.0,Call,8.55,9.7,0.1696,0.8317,0.0277,-0.0629,0.134,0.1158,25 days
2024-01-01,AAPL,2024-01-26,190.0,Call,5.45,5.7,0.1746,0.6493,0.0398,-0.0793,0.1976,0.0916,25 days
2024-01-01,AAPL,2024-01-26,195.0,Call,2.5,2.78,0.1595,0.4315,0.0462,-0.0716,0.2095,0.0616,25 days
2024-01-01,AAPL,2024-01-26,200.0,Call,1.02,1.1,0.157,0.2241,0.0357,-0.0509,0.1595,0.0322,25 days
2024-01-01,AAPL,2024-01-26,205.0,Call,0.32,0.37,0.1806,0.1257,0.0214,-0.039,0.1102,0.0181,25 days
2024-01-01,AAPL,2024-01-26,210.0,Call,0.12,0.15,0.1667,0.0384,0.0093,-0.0143,0.0445,0.0055,25 days
2024-01-01,AAPL,2024-01-26,215.0,Call,0.05,0.08,0.1821,0.0186,0.0047,-0.0084,0.0243,0.0027,25 days
2024-01-01,AAPL,2024-01-26,220.0,Call,0.02,0.06,0.2015,0.011,0.0027,-0.0058,0.0155,0.0016,25 days
2024-01-01,AAPL,2024-01-26,225.0,Call,0.01,0.05,0.2381,0.0116,0.0024,-0.0072,0.0162,0.0016,25 days
2024-01-01,AAPL,2024-01-26,230.0,Call,0.02,0.04,0.2516,0.0069,0.0014,-0.0048,0.0103,0.001,25 days
2024-01-01,AAPL,2024-01-26,235.0,Call,0.01,0.03,0.2787,0.0063,0.0012,-0.0049,0.0095,0.0009,25 days
2024-01-01,AAPL,2024-01-26,240.0,Call,0.0,0.01,0.2993,0.0051,0.0009,-0.0043,0.0078,0.0007,25 days
2024-01-01,AAPL,2024-01-26,245.0,Call,0.0,0.01,0.3198,0.0042,0.0007,-0.0039,0.0066,0.0006,25 days
2024-01-01,AAPL,2024-01-26,250.0,Call,0.0,0.02,0.3404,0.0036,0.0006,-0.0036,0.0058,0.0005,25 days
