date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho,days_to_expiration
2024-01-01,AAPL,2024-01-12,135.0,Put,0.0,0.03,0.6958,-0.0035,0.0004,-0.0099,0.004,-0.0002,11 days
2024-01-01,AAPL,2024-01-12,140.0,Put,0.01,0.03,0.6309,-0.0039,0.0004,-0.0098,0.0044,-0.0003,11 days
2024-01-01,AAPL,2024-01-12,145.0,Put,0.01,0.02,0.544,-0.0031,0.0004,-0.0068,0.0035,-0.0002,11 days
2024-01-01,AAPL,2024-01-12,150.0,Put,0.01,0.02,0.4849,-0.0034,0.0005,-0.0067,0.0039,-0.0002,11 days
2024-01-01,AAPL,2024-01-12,155.0,Put,0.01,0.03,0.4468,-0.0054,0.0009,-0.0092,0.0058,-0.0004,11 days
2024-01-01,AAPL,2024-01-12,160.0,Put,0.03,0.04,0.3954,-0.007,0.0013,-0.0101,0.0073,-0.0005,11 days
2024-01-01,AAPL,2024-01-12,162.5,Put,0.02,0.05,0.3661,-0.0075,0.0015,-0.01,0.0078,-0.0005,11 days
2024-01-01,AAPL,2024-01-12,167.5,Put,0.05,0.06,0.3271,-0.0125,0.0026,-0.0139,0.0122,-0.0009,11 days
2024-01-01,AAPL,2024-01-12,172.5,Put,0.06,0.09,0.2796,-0.0191,0.0044,-0.017,0.0175,-0.0014,11 days
2024-01-01,AAPL,2024-01-12,177.5,Put,0.12,0.14,0.2392,-0.0357,0.0087,-0.0242,0.0296,-0.0026,11 days
2024-01-01,AAPL,2024-01-12,180.0,Put,0.17,0.2,0.2208,-0.0518,0.0128,-0.0302,0.0424,-0.0036,11 days
2024-01-01,AAPL,2024-01-12,185.0,Put,0.4,0.46,0.1864,-0.1219,0.029,-0.0476,0.08,-0.0083,11 days
2024-01-01,AAPL,2024-01-12,187.5,Put,0.68,0.82,0.1755,-0.2001,0.0428,-0.0611,0.1073,-0.0134,11 days
2024-01-01,AAPL,2024-01-12,192.5,Put,2.15,2.31,0.1604,-0.4736,0.0679,-0.0748,0.1495,-0.0285,11 days
2024-01-01,AAPL,2024-01-12,197.5,Put,5.0,6.2,0.1721,-0.7702,0.052,-0.0555,0.1141,-0.0354,11 days
2024-01-01,AAPL,2024-01-12,200.0,Put,7.0,7.95,0.1578,-0.9089,0.0396,-0.023,0.0639,-0.0243,11 days
2024-01-01,AAPL,2024-01-12,205.0,Put,11.8,12.9,0.172,-1.0,0.0017,0.0,0.0,0.0,11 days
2024-01-01,AAPL,2024-01-12,207.5,Put,14.25,15.35,0.1826,-1.0,0.0,0.0,0.0,0.0,11 days
2024-01-01,AAPL,2024-01-12,212.5,Put,19.4,20.35,0.2087,-1.0,0.0,0.0,0.0,0.0,11 days
2024-01-01,AAPL,2024-01-12,217.5,Put,24.3,25.5,0.2454,-1.0,0.0,0.0,0.0,0.0,11 days
2024-01-01,AAPL,2024-01-12,222.5,Put,29.35,30.55,0.2659,-1.0,0.0,0.0,0.0,0.0,11 days
2024-01-01,AAPL,2024-01-12,225.0,Put,31.9,33.05,0.2659,-1.0,0.0,0.0,0.0,0.0,11 days
2024-01-01,AAPL,2024-01-12,230.0,Put,36.8,38.05,0.2659,-1.0,0.0,0.0,0.0,0.0,11 days
2024-01-01,AAPL,2024-01-12,235.0,Put,41.8,42.9,0.2659,-1.0,0.0,0.0,0.0,0.0,11 days
2024-01-01,AAPL,2024-01-12,240.0,Put,46.8,47.85,0.2659,-1.0,0.0,0.0,0.0,0.0,11 days
2024-01-01,AAPL,2024-01-12,245.0,Put,51.75,52.9,0.2659,-1.0,0.0,0.0,0.0,0.0,11 days
2024-01-01,AAPL,2024-01-12,250.0,Put,56.85,58.05,0.2659,-1.0,0.0,0.0,0.0,0.0,11 days
2024-01-01,AAPL,2024-01-26,135.0,Put,0.01,0.04,0.5103,-0.0045,0.0004,-0.0062,0.007,-0.0006,25 days
2024-01-01,AAPL,2024-01-26,140.0,Put,0.01,0.05,0.4753,-0.0059,0.0006,-0.0074,0.0089,-0.0009,25 days
2024-01-01,AAPL,2024-01-26,145.0,Put,0.03,0.06,0.4232,-0.0059,0.0007,-0.0066,0.009,-0.0009,25 days
2024-01-01,AAPL,2024-01-26,150.0,Put,0.05,0.09,0.3996,-0.0094,0.0011,-0.0093,0.0134,-0.0014,25 days
2024-01-01,AAPL,2024-01-26,155.0,Put,0.05,0.11,0.36,-0.0117,0.0015,-0.0101,0.0163,-0.0017,25 days
2024-01-01,AAPL,2024-01-26,160.0,Put,0.08,0.13,0.3268,-0.0163,0.0023,-0.0121,0.0217,-0.0024,25 days
2024-01-01,AAPL,2024-01-26,165.0,Put,0.11,0.14,0.2881,-0.0213,0.0033,-0.0134,0.0273,-0.0032,25 days
2024-01-01,AAPL,2024-01-26,170.0,Put,0.17,0.19,0.257,-0.0326,0.0053,-0.0169,0.0389,-0.0049,25 days
2024-01-01,AAPL,2024-01-26,175.0,Put,0.26,0.3,0.2274,-0.0533,0.009,-0.022,0.063,-0.0075,25 days
2024-01-01,AAPL,2024-01-26,180.0,Put,0.46,0.55,0.2026,-0.0971,0.016,-0.0306,0.0973,-0.0133,25 days
2024-01-01,AAPL,2024-01-26,185.0,Put,1.0,1.13,0.1856,-0.1913,0.0279,-0.0432,0.1483,-0.0255,25 days
2024-01-01,AAPL,2024-01-26,190.0,Put,2.1,2.3,0.1696,-0.3547,0.0423,-0.0514,0.1996,-0.0442,25 days
2024-01-01,AAPL,2024-01-26,195.0,Put,4.25,4.5,0.158,-0.589,0.0499,-0.0457,0.2073,-0.0625,25 days
2024-01-01,AAPL,2024-01-26,200.0,Put,7.5,8.25,0.1515,-0.8277,0.0418,-0.024,0.1381,-0.056,25 days
2024-01-01,AAPL,2024-01-26,205.0,Put,12.0,13.2,0.1806,-0.922,0.0258,-0.0146,0.0786,-0.0392,25 days
2024-01-01,AAPL,2024-01-26,210.0,Put,16.55,18.1,0.1667,-1.0,0.0,0.0,0.0,0.0,25 days
2024-01-01,AAPL,2024-01-26,215.0,Put,21.55,23.1,0.1821,-1.0,0.0,0.0,0.0,0.0,25 days
2024-01-01,AAPL,2024-01-26,220.0,Put,26.6,28.1,0.2015,-1.0,0.0,0.0,0.0,0.0,25 days
2024-01-01,AAPL,2024-01-26,225.0,Put,31.55,33.05,0.2381,-1.0,0.0,0.0,0.0,0.0,25 days
2024-01-01,AAPL,2024-01-26,230.0,Put,36.75,38.1,0.2516,-1.0,0.0,0.0,0.0,0.0,25 days
2024-01-01,AAPL,2024-01-26,235.0,Put,41.6,43.1,0.2787,-1.0,0.0,0.0,0.0,0.0,25 days
2024-01-01,AAPL,2024-01-26,240.0,Put,46.6,48.05,0.2993,-1.0,0.0,0.0,0.0,0.0,25 days
2024-01-01,AAPL,2024-01-26,245.0,Put,51.55,53.1,0.3198,-1.0,0.0,0.0,0.0,0.0,25 days
2024-01-01,AAPL,2024-01-26,250.0,Put,56.55,58.05,0.3404,-1.0,0.0,0.0,0.0,0.0,25 days
2024-01-01,AAPL,2024-02-16,135.0,Put,0.07,0.1,0.4241,-0.0081,0.0007,-0.0065,0.0157,-0.0022,46 days
2024-01-01,AAPL,2024-02-16,140.0,Put,0.1,0.12,0.3991,-0.0109,0.001,-0.0079,0.0202,-0.0029,46 days
2024-01-01,AAPL,2024-02-16,145.0,Put,0.13,0.15,0.3732,-0.0144,0.0013,-0.0093,0.0257,-0.0039,46 days
2024-01-01,AAPL,2024-02-16,150.0,Put,0.17,0.19,0.3479,-0.0192,0.0019,-0.0111,0.033,-0.0052,46 days
2024-01-01,AAPL,2024-02-16,155.0,Put,0.23,0.25,0.3242,-0.0264,0.0026,-0.0135,0.0431,-0.0071,46 days
2024-01-01,AAPL,2024-02-16,160.0,Put,0.32,0.34,0.3017,-0.0371,0.0038,-0.0165,0.0584,-0.0094,46 days
2024-01-01,AAPL,2024-02-16,165.0,Put,0.46,0.49,0.2815,-0.0542,0.0055,-0.0207,0.0815,-0.0136,46 days
2024-01-01,AAPL,2024-02-16,170.0,Put,0.69,0.72,0.2627,-0.0805,0.0081,-0.0259,0.1095,-0.0202,46 days
2024-01-01,AAPL,2024-02-16,175.0,Put,1.05,1.12,0.246,-0.1218,0.0117,-0.0323,0.1422,-0.0303,46 days
2024-01-01,AAPL,2024-02-16,180.0,Put,1.67,1.78,0.2327,-0.1852,0.0164,-0.0395,0.1919,-0.0454,46 days
2024-01-01,AAPL,2024-02-16,185.0,Put,2.64,2.79,0.2199,-0.2743,0.0218,-0.0452,0.238,-0.0655,46 days
2024-01-01,AAPL,2024-02-16,190.0,Put,4.15,4.35,0.2098,-0.3926,0.0266,-0.0475,0.2707,-0.0899,46 days
2024-01-01,AAPL,2024-02-16,195.0,Put,6.3,6.85,0.2057,-0.5316,0.0287,-0.0455,0.2804,-0.1123,46 days
2024-01-01,AAPL,2024-02-16,200.0,Put,8.85,9.55,0.1854,-0.6926,0.0304,-0.0319,0.2482,-0.12,46 days
2024-01-01,AAPL,2024-02-16,205.0,Put,12.65,13.2,0.1754,-0.8488,0.0274,-0.0167,0.1667,-0.093,46 days
2024-01-01,AAPL,2024-02-16,210.0,Put,16.9,17.95,0.1889,-0.9304,0.021,-0.0089,0.0955,-0.0554,46 days
