Fiscal Quarter,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,+20 Quarters
Period Ending,"Oct '24 Oct 26, 2024","Jul '24 Jul 27, 2024","Apr '24 Apr 27, 2024","Jan '24 Jan 27, 2024","Oct '23 Oct 28, 2023","Jul '23 Jul 29, 2023","Apr '23 Apr 29, 2023","Jan '23 Jan 28, 2023","Oct '22 Oct 29, 2022","Jul '22 Jul 30, 2022","Apr '22 Apr 30, 2022","Jan '22 Jan 29, 2022","Oct '21 Oct 30, 2021","Jul '21 Jul 31, 2021","May '21 May 1, 2021","Jan '21 Jan 23, 2021","Oct '20 Oct 24, 2020","Jul '20 Jul 25, 2020","Apr '20 Apr 25, 2020","Jan '20 Jan 25, 2020",+20 Quarters
Cash & Equivalents,9065,7508,8913,13715,9602,10123,8044,9009,7292,7079,6952,6731,7619,9175,7350,11793,10822,11809,10366,8475,Upgrade
Short-Term Investments,10356,11096,10607,12519,14296,16211,15244,13052,12492,12188,13156,14382,15727,15343,16229,18795,19190,17610,18208,18587,Upgrade
Trading Asset Securities,2,-,-,-,-,-,-,-,-,-,1,3,6,9,-,1,4,6,9,-,Upgrade
Cash & Short-Term Investments,19423,18604,19520,26234,23898,26334,23288,22061,19784,19267,20109,21116,23352,24527,23579,30589,30016,29425,28583,27062,Upgrade
Cash Growth,-18.73%,-29.35%,-16.18%,18.92%,20.79%,36.68%,15.81%,4.48%,-15.28%,-21.45%,-14.72%,-30.97%,-22.20%,-16.65%,-17.51%,13.03%,7.06%,-11.94%,-17.49%,-32.99%,Upgrade
Accounts Receivable,7580,10023,8570,8360,8247,9206,8506,8794,9122,10527,9587,10000,9376,10146,9073,9334,9085,10523,9272,9157,Upgrade
Other Receivables,-,-,-,-,-,-,-,-,-,-,-,-,-,-,262,39,57,-,12,-,Upgrade
Receivables,7580,10023,8570,8360,8247,9206,8506,8794,9122,10527,9587,10000,9376,10146,9335,9373,9142,10523,9284,9157,Upgrade
Inventory,3143,3373,3118,3209,3342,3644,3474,3140,2664,2568,2231,2059,1832,1559,1579,1436,1303,1282,1212,1353,Upgrade
Restricted Cash,763,765,765,565,378,191,2,-,-,-,7,11,10,14,6,7,3,-,1,21,Upgrade
Other Current Assets,4843,4097,3913,3759,3794,3973,4680,4520,4571,4355,4047,3613,3018,2866,2561,2506,2525,2343,2227,2460,Upgrade
Total Current Assets,35752,36862,35886,42127,39659,43348,39950,38515,36141,36717,35981,36799,37588,39112,37060,43911,42989,43573,41307,40053,Upgrade
"Property, Plant & Equipment",3174,3156,3008,2983,3001,3056,3064,2942,2901,3000,3070,3218,3356,3433,3295,3360,3365,3374,3465,3821,Upgrade
Long-Term Investments,2175,2363,2350,2538,2925,3113,3300,3300,3300,3400,2650,2596,2525,849,1516,1440,1551,169,1424,1305,Upgrade
Goodwill,58774,58660,58633,39087,38900,38535,38369,38388,38160,38304,38452,38679,38802,38168,37690,34733,34535,33806,33453,33612,Upgrade
Other Intangible Assets,10744,11219,11819,1678,1914,1818,1966,2134,2360,2569,2811,3079,3350,3619,3716,1462,1581,1576,1744,1906,Upgrade
Long-Term Accounts Receivable,3411,3376,3251,3364,3324,3483,3393,3554,3618,4009,3959,4024,4546,4884,5068,5100,5516,5714,4770,4757,Upgrade
